                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0819,                0.88656,                 1.1649,                0.74966,                0.66254,                0.71496,                0.44426,                 1.5417,                 1.4123,                 1.4809,             0.00021356,             0.00021356,             0.00021356
                     62,                 1.0727,                0.86138,                 1.1405,                0.81669,                0.61672,                0.69452,                0.43228,                 1.5418,                 1.4883,                 1.4668,             0.00020835,             0.00020835,             0.00020835
                     63,                 1.0799,                0.87466,                 1.1662,                0.78226,                 0.6279,                0.68597,                0.43045,                 1.5399,                 1.5443,                 1.5074,             0.00020314,             0.00020314,             0.00020314
                     64,                 1.0906,                0.86541,                 1.1741,                0.78276,                0.62294,                0.67302,                0.42091,                 1.5928,                 1.4302,                 1.5537,             0.00019793,             0.00019793,             0.00019793
                     65,                 1.0797,                0.87187,                  1.162,                0.77735,                0.65445,                0.70561,                0.42518,                 1.5549,                  1.406,                 1.5302,             0.00019273,             0.00019273,             0.00019273
                     66,                 1.0748,                0.87472,                 1.1667,                0.78294,                0.61842,                0.70813,                0.43874,                 1.5613,                 1.4713,                 1.5176,             0.00018752,             0.00018752,             0.00018752
                     67,                 1.0825,                0.85004,                 1.1632,                0.80447,                 0.6285,                0.71034,                0.44248,                 1.5412,                 1.4477,                 1.4767,             0.00018231,             0.00018231,             0.00018231
                     68,                 1.0587,                0.85124,                 1.1518,                0.78293,                0.63334,                0.69906,                0.44293,                 1.5091,                 1.4528,                 1.4446,              0.0001771,              0.0001771,              0.0001771
                     69,                 1.0792,                0.86299,                 1.1554,                0.81353,                 0.6534,                0.71019,                0.42882,                 1.5313,                 1.4669,                 1.4878,              0.0001719,              0.0001719,              0.0001719
                     70,                 1.0575,                0.86633,                 1.1542,                0.66439,                0.64518,                0.69404,                0.41894,                 1.5225,                  1.438,                 1.4808,             0.00016669,             0.00016669,             0.00016669
